Title,Read Status
Kimetsu no Yaiba,completed
"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",completed
Shoujo Shuumatsu Ryokou,completed
Tomo-chan wa Onna no ko!,completed
Nisekoi,completed
Mayo Chiki!,completed
One-Armed Amy,completed
Kimetsu no Yaiba - Digital Colored Comics,completed
Futari Ashita mo Sorenari ni,completed
Shingetsutan Tsukihime,completed
5Toubun no Hanayome,completed
Kishuku Gakkou no Juliet,completed
Onizuka-chan and Sawarida-kun,completed
Mata Onaji Yume wo Mite ita,completed
The Story of an Engaged Couple That Doesn't Get Along,plan_to_read
Tsun-Ama na Kareshi,plan_to_read
"Sekai Saikyou no Assassin, Isekai Kizoku ni Tensei Suru",plan_to_read
Shokuba no onna no ko ni toushi suru hanashi,plan_to_read
A Couple of Cuckoos,plan_to_read
My New Wife Is Forcing Herself to Smile,plan_to_read
We May Be an Inexperienced Couple but...,plan_to_read
The Story of an Otaku and a Gyaru Falling in Love,plan_to_read
Hyakumanjou Labyrinth,plan_to_read
Comic Girls,plan_to_read
Jashin-chan Dropkick,plan_to_read
Mabataki yori Hayaku!!,plan_to_read
Expressionless Kashiwada-san and Emotional Oota-kun,plan_to_read
Yugami-kun ni wa Tomodachi ga Inai,plan_to_read
Akame ga KILL!,plan_to_read
My Classmate Tanaka-san Is Super Scary,plan_to_read
Aono-kun ni Sawaritai kara Shinitai,plan_to_read
Senpai ga Oyobidesu!,plan_to_read
Yankee-kun to Megane-chan,plan_to_read
Kawaii Hito,plan_to_read
Love Lab,plan_to_read
Bonnouji,plan_to_read
Torako! Don't Break Everything!,plan_to_read
Masamune-kun no Revenge,plan_to_read
Trinity Seven,plan_to_read
Kawaii Joushi wo Komarasetai,plan_to_read
Tennen Kakutou Shoujo Chihiro-chan,plan_to_read
Shimeji Simulation,plan_to_read
Tanaka-kun wa Itsumo Kedaruge,plan_to_read
Hitoribocchi no ○○ Seikatsu,plan_to_read
Gochuumon wa Usagi desu ka?,plan_to_read
Noragami,plan_to_read
Made in Abyss,plan_to_read
Matchmaking of the Amagami Household (Oneshot),plan_to_read
Kami eshi JK to OL fujoshi,plan_to_read
Kimi no Yokogao shika Mirenai,plan_to_read
Jyoshikou Dakara Safe,plan_to_read
Useless Ponko,plan_to_read
Kobayashi-san Chi no Maid Dragon: Elma OL Nikki,plan_to_read
Munou na Nana,plan_to_read
Shadows House,plan_to_read
"I'm Nearly 30, but This Is My First Love",plan_to_read
Hanazono Twins,plan_to_read
Nettaigyo wa Yuki ni Kogareru,plan_to_read
Mattaku Saikin no Tantei to Kitara,plan_to_read
Kuro no Shoukanshi,plan_to_read
Machigatta Ko wo Mahou Shoujo ni shite shimatta,plan_to_read
Ookii Kouhai wa Suki Desu ka?,plan_to_read
Ikinokore! Shachiku-chan,plan_to_read
Sensei wa Koi o Oshierarenai,plan_to_read
Yumizuka Iroha wa Tejun ga Daiji!,plan_to_read
"Fuufu Ijou, Koibito Miman.",plan_to_read
Maou-jou de Oyasumi,plan_to_read
Villainess Level 99 ~I May Be the Hidden Boss but I'm Not the Demon Lord~,plan_to_read
Aria,plan_to_read
Hakoiri Drops,plan_to_read
Mamahaha no Tsurego ga Moto Kanodatta,plan_to_read
Gakkou Gurashi!,plan_to_read
We Are Cats,plan_to_read
Yankee JK KuzuHana-chan,plan_to_read
100-man no Inochi no Ue ni Ore wa Tatteiru,plan_to_read
Kaichou wa Maid-sama!,plan_to_read
Gabriel DropOut,plan_to_read
Mahoroba Kissa,plan_to_read
Siscon Ani to Brocon Imouto ga Shoujiki ni Nattara,plan_to_read
Kono Bijutsubu ni wa Mondai ga Aru!,plan_to_read
The Beginning After the End,plan_to_read
Otome Game no Hametsu Flag shika nai Akuyaku Reijou ni Tensei shite shimatta...,plan_to_read
Kemono Jihen,plan_to_read
Katekyo Hitman Reborn!,plan_to_read
Nido Tensei Shita Shounen wa S Rank Boukensha Toshite Heion ni Sugosu-zense ga kenja de eiyuu datta boku wa raisede wa jimini ikiru,plan_to_read
Kimi wa Shinenai Hai Kaburi no Majo,plan_to_read
No Match for Aoi-kun,plan_to_read
Kono Kaisha ni Suki na Hito ga Imasu,plan_to_read
Haikyuu!!,plan_to_read
"Ganbare, Douki-chan",plan_to_read
Mairimashita! Iruma-kun,plan_to_read
Komori-san wa Kotowarenai!,plan_to_read
Fechippuru ~Our Innocent Love~,plan_to_read
Demi-chan wa Kataritai,plan_to_read
Saotome Shimai wa Manga no Tame nara!?,plan_to_read
Tenkuu Shinpan,plan_to_read
Mato Seihei no Slave,plan_to_read
Maou no Musume wa Yasashi Sugiru!!,plan_to_read
Nega-kun and Posi-chan,plan_to_read
ReLIFE,plan_to_read
Confession Series,plan_to_read
Kanojo mo Kanojo,plan_to_read
Sunoharasou no Kanrinin-san,plan_to_read
Zettai Watashi no Koto Suki Daro,plan_to_read
Menhera Shoujo Kurumi-chan,plan_to_read
Kuchi ga Saketemo Kimi ni wa,plan_to_read
Denkigai no Honya-san,plan_to_read
Cinderella wa Sagasanai,plan_to_read
Hayate no Gotoku!,plan_to_read
GGWP. ~Young Ladies Don't Play Fighting Games~,plan_to_read
Ichizu de Bitch na Kouhai,plan_to_read
The Irregular of the Royal Academy of Magic ~The Strongest Sorcerer From the Slums is Unrivaled in the School of Royals ~,plan_to_read
Three Years Apart,plan_to_read
"Senpai, Sore Hitokuchi Kudasai!",plan_to_read
Gakuen Babysitters,plan_to_read
Temple,plan_to_read
Are You Really Getting Married?,plan_to_read
Kusuriya no Hitorigoto,plan_to_read
Gal Gohan,plan_to_read
"Sentouin, Hakenshimasu!",plan_to_read
Ane Naru Mono,plan_to_read
I Shaved. Then I Brought a High School Girl Home.,plan_to_read
